intensity0	intensity5	intensity6	intensity7
4.4	5.6	6	6.8
4.8	6.4	7.2	6.4
4.8	7.2	8	6.4
5.2	8	8	6.4
6	8	7.6	6.4
7.2	7.6	7.2	6.8
8.8	7.2	7.2	7.2
9.2	7.2	7.2	7.6
8.4	7.2	7.2	7.2
7.2	7.6	7.6	6.8
6	8	8	6
5.2	8	8.4	5.6
4.8	7.2	8	5.6
4.8	6.4	7.2	5.6
4.4	5.6	6.4	6
4.4	5.2	6	6.8
4.4	5.2	5.6	7.6
4.4	5.2	5.6	7.6
4.4	5.2	6	7.2
4.4	5.6	6.4	7.2
4.4	6.4	7.6	7.2
4.8	7.6	8.4	6.8
5.2	8	8.4	6.4
6.4	8	8	6.8
8	7.6	7.6	7.2
9.6	7.6	7.2	8
10	7.6	7.2	8
9.2	7.6	7.2	7.6
7.6	8	7.6	6.8
6.4	8.4	8.4	6
5.6	8.4	8.4	5.6
5.2	7.6	8	5.6
4.8	6.8	7.2	6
4.8	6	6.4	6.4
4.4	5.6	6	7.6
4.4	5.2	5.6	8.4
4.4	5.2	5.6	8.4
4.4	5.2	6	8
4.4	5.6	6.4	7.6
4.4	6.8	7.6	7.2
4.8	7.6	8.4	7.2
5.2	8.4	8.8	7.2
6	8.4	8.4	7.2
7.6	8	8	8
9.2	7.6	7.6	8.4
10.4	7.6	7.6	8.4
9.6	7.6	7.2	7.6
8.4	8	8	6.8
6.8	8.4	8.4	6.4
6	8.8	9.2	6
5.2	8.4	8.8	6
4.8	7.2	8	6
4.8	6.4	7.2	6.8
4.8	6	6.4	8
4.8	5.6	6	8.8
4.8	5.6	6	8.8
4.8	5.6	6	8.4
4.8	6	6	8
4.8	6.4	7.2	7.6
4.8	7.6	8.4	7.6
4.8	8.8	9.2	7.2
5.2	9.2	9.2	7.6
6	8.8	8.4	8
8	8.4	8	8.8
10	8	7.6	9.2
12.4	8	8	8.8
10.8	8	7.6	7.6
8.8	8.4	8	6.8
7.2	9.2	8.8	6
6	9.2	9.6	6
5.2	8.8	9.6	6
