intensity1	intensity2	intensity3	intensity4
4	3.2	2.8	6.8
4.4	3.2	2.8	6
4	3.2	2.8	5.2
3.6	3.2	2.8	4.8
3.2	2.8	2.8	4.4
3.2	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	3.2	4.4
2.8	2.8	3.6	4.4
2.8	3.2	4.4	4.4
2.8	3.6	4.8	4.4
2.8	4	4.4	4.8
2.8	4.4	4	5.6
3.2	4.4	3.6	6.8
3.6	4	3.2	8
4	3.6	3.2	8
4.4	3.2	3.2	7.2
4.4	3.2	3.2	6.4
4	3.2	3.2	5.6
3.6	3.2	3.2	5.2
3.2	3.2	3.2	4.8
3.2	3.2	3.2	4.4
2.8	3.2	3.2	4
2.8	3.2	3.2	4
2.8	3.2	3.6	4
2.8	3.2	4.4	4
2.8	3.2	4.8	4
2.8	3.6	5.2	4.4
2.8	4	5.2	4.4
2.8	4.8	4.8	5.2
3.2	5.2	4.4	6
3.6	4.8	4	7.6
4	4.4	3.6	8.4
4.8	4	3.6	8.4
4.8	4	3.6	7.2
4.8	3.6	3.6	6.4
4.4	3.6	3.6	5.6
4.4	3.2	3.6	5.2
4	3.2	3.6	4.8
3.6	3.2	3.6	4.8
3.6	3.2	3.6	4.4
3.6	3.2	3.6	4.4
3.2	3.2	4	4
3.2	3.2	4.4	4.4
3.2	3.2	5.2	4.4
3.2	4	6.4	4.8
3.2	4.4	6.4	4.8
3.2	5.2	6	5.2
3.6	5.6	5.6	6
4	5.6	5.6	7.2
4.4	5.6	5.2	8.8
5.2	5.6	4.8	9.2
6	5.6	4.4	8.4
6.4	5.2	4	7.2
6.4	4.8	3.6	6
6.4	4.4	3.6	5.2
6	4	3.6	4.8
5.6	3.6	3.6	4.8
4.8	3.6	3.6	4.4
4.4	3.6	3.6	4.4
4	3.2	3.6	4.4
4	3.6	4	4.4
3.6	3.6	4.8	4.4
3.6	4	5.6	4.4
3.6	4.4	6	4.4
3.6	5.2	6.4	4.8
3.6	5.6	6.8	5.2
4	6.4	7.6	6.4
4.4	6.8	7.6	8
5.2	7.2	7.2	9.6
5.6	7.6	6.4	10
6	7.2	5.6	9.2
6.8	6.4	4.8	7.6
7.6	5.6	4.4	6.4
8.4	4.8	4	5.6
8.4	4.4	4	5.2
7.6	4	4	4.8
6.8	4	4	4.8
5.6	4	4	4.4
4.8	4	4.4	4.4
4.4	4	4.8	4.4
4	4	5.6	4.4
3.6	4.4	6	4.4
3.6	4.8	6.4	4.4
3.6	5.6	6.8	4.8
4	6	8	5.2
4.4	6.4	9.2	6
5.2	7.2	10	7.6
6	8.8	9.6	9.2
6.4	10	8.8	10.4
6.8	10.4	7.6	9.6
7.6	9.6	6.4	8.4
8.8	8.4	5.6	6.8
10.4	6.8	4.8	6
10.8	5.6	4.4	5.2
10.4	5.2	4.4	4.8
8.8	4.4	4.4	4.8
7.6	4.4	4.4	4.8
6.4	4	4.4	4.8
5.6	4	4.8	4.8
4.8	4	5.6	4.8
4.4	4.4	6.4	4.8
4	4.8	7.2	4.8
4	5.6	7.6	4.8
4	6.4	8	4.8
4.4	7.2	9.6	5.2
4.8	7.6	11.2	6
5.6	8.4	12	8
6.4	10	11.6	10
7.6	12.8	10.4	12.4
7.6	12.8	8.8	10.8
8.4	11.6	7.6	8.8
10	10	6.4	7.2
11.6	8.4	5.6	6
12.4	6.8	4.8	5.2
12	6	4.8	4.8
10.4	5.2	4.4	4.8
8.8	4.8	4.4	4.8
7.2	4.4	4.8	4.8
6.4	4.4	5.2	4.8
5.6	4.4	6	4.8
4.8	4.4	6.8	4.8
4.4	4.8	7.2	4.8
4.4	5.6	7.6	4.8
4.4	6.4	8.4	4.8
4.8	7.2	9.6	5.2
5.2	8	11.2	5.6
6	8.8	12.4	7.2
6.8	10.4	12.8	9.6
7.2	12	12.4	11.6
7.6	12.8	10.8	11.6
8.8	13.2	9.2	10
10.4	12	8	8
12	10.8	6.8	6.8
12.8	9.2	6	6
13.2	7.6	5.6	5.2
12.8	6.4	5.2	4.8
11.2	6	5.2	4.8
9.6	5.2	5.2	4.8
8	4.8	5.2	4.8
6.8	4.8	5.6	4.8
6	5.2	6.4	4.8
5.2	5.2	7.6	4.8
4.8	6	8	4.8
4.8	6.4	8.4	4.8
4.8	7.2	10	4.8
5.2	7.6	11.2	5.2
6	8.4	12	5.6
6.8	10	12.8	7.2
7.6	11.6	13.6	9.6
8	12.4	13.2	12
8.8	13.2	12.4	12.8
10.4	13.2	10.8	11.6
12	13.2	9.2	9.6
12.8	12	8	8
13.6	10.4	6.8	6.8
13.6	8.8	6	6
13.2	7.6	5.6	5.2
12.4	6.4	5.2	4.8
11.2	6	5.2	4.8
9.2	5.6	5.2	4.8
8	5.2	5.6	4.8
6.8	5.2	6.4	4.8
6	5.2	7.6	4.8
5.2	6	8.4	4.8
5.2	6.4	9.2	4.8
5.2	7.6	10.4	4.8
5.6	8.4	12	5.2
6	8.8	13.2	5.6
6.8	10.4	14	6.4
7.6	12	14	8
8.4	13.6	14	10.4
9.2	14	13.6	12.8
11.2	14	12.8	15.2
12.4	13.6	11.6	13.2
14	13.2	10	10.4
14.4	12.4	8.8	8.4
14.4	11.2	7.6	7.2
14	10	6.8	6
13.6	8.4	6	5.2
12.8	7.2	5.6	4.8
11.6	6.4	5.6	4.8
10	6	6	4.8
8.8	5.6	6.4	4.8
7.6	5.6	7.2	4.8
