intensitywo	intensityw	intensity0	intensity30	intensity60	intensity90	intensityn30	intensityn60	intensityn90
3.2	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
3.2	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
3.6	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
4	2	1.6	1.6	1.6	1.6	1.6	2	1.6
4	2	1.6	1.6	1.6	1.6	1.6	2	1.6
3.6	2	2	1.6	1.6	1.6	1.6	2	1.6
3.2	2	2	1.6	1.6	1.6	1.6	2	1.6
2.8	2	2	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	2	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	2	1.6	1.6	1.6	1.6
3.2	2	1.6	1.6	2	2	1.6	2	1.6
3.6	2	1.6	1.6	2	2	1.6	2	1.6
4.4	2	1.6	1.6	2	2	1.6	2	2
4.4	2	1.6	1.6	2	2	1.6	2	2
4	2	2	1.6	2	2	1.6	2	2
3.6	2	2	1.6	2	1.6	1.6	2	1.6
3.2	2	2	1.6	2	1.6	1.6	2	1.6
2.8	2	2	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	2	2	1.6	1.6	2	2
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	2	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	2	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	2	2	1.6	1.6	1.6	1.6
2.8	2	1.6	2	2	1.6	1.6	1.6	1.6
2.8	2	1.6	2	2	1.6	1.6	1.6	1.6
2.8	2	1.6	2	2	1.6	1.6	1.6	1.6
2.8	2	1.6	2	2	2	1.6	1.6	1.6
3.2	2	1.6	2	2	2	1.6	2	1.6
4	2	1.6	2	2	2	1.6	2	2
4.4	2	1.6	2	2	2	1.6	2	2
4.8	2	1.6	2	2	2	1.6	2	2
4.4	2	1.6	2	2	1.6	1.6	2	2
3.6	2	1.6	2	2	1.6	1.6	2	2
3.2	2	1.6	1.6	1.6	1.6	1.6	2	2
3.2	2	1.6	1.6	1.6	1.6	1.6	2	2
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	2	1.6	1.6	2	1.6	2	1.6
2.8	2	2	1.6	1.6	2	1.6	2	1.6
2.8	2	2	1.6	1.6	2	1.6	2	1.6
2.8	2	2	1.6	2	2	1.6	2	1.6
3.2	2	2	1.6	2	2.4	1.6	2	1.6
3.6	2	2	1.6	2	2.4	1.6	2	2
4.4	2	2	1.6	2	2.4	1.6	2.4	2.4
4.8	2	2	1.6	2	2	1.6	2.4	2.4
4.4	2	2	1.6	2	2	1.6	2.4	2
4	2	2	1.6	2	2	1.6	2.4	2
3.6	2	2	1.6	2	2	1.6	2.4	2
3.2	2	2	1.6	2	1.6	1.6	2	2
3.2	2	2	1.6	2	1.6	1.6	2	2
3.2	2	2	1.6	2	1.6	1.6	2	1.6
3.2	2	2	2	2	1.6	1.6	2	1.6
3.2	2	2	2	2	1.6	1.6	2	1.6
3.2	2	2	2	2	1.6	1.6	2	1.6
3.2	2	2	2	2	1.6	1.6	2	1.6
3.2	2	2.4	2	2	1.6	2	2	1.6
3.2	2	2.4	2	2	1.6	2	2	1.6
3.2	2	2.4	2	2	2	2	2	1.6
3.6	2	2.4	2	2.4	2.4	2	2.4	2
4.4	2.4	2.4	2	2.4	2.4	2	2.4	2.4
4.8	2.4	2.4	2	2.4	2.4	2	2.4	2.4
5.2	2.4	2.4	2	2.4	2.4	2	2.4	2.4
5.2	2.4	2.4	2.4	2.4	2.4	2	2.4	2.4
4.8	2.4	2.4	2.4	2.4	2.4	2	2.4	2.4
4.4	2	2.4	2.4	2.4	2.4	2	2.4	2.4
4	2	2.4	2.4	2.4	2	2	2.4	2.4
3.6	2	2.4	2.4	2	2	2	2.4	2.4
3.6	2	2.4	2.4	2	2	2	2.4	2.4
3.6	2	2.4	2	2	2	2	2	2
3.6	2	2.4	2	2	2	2	2	2
3.6	2	2.4	2	2	2	2	2	2
3.6	2	2.4	2	2	2	2	2	2
3.6	2	2.4	2.4	2	2	2.4	2	2
3.6	2	2.4	2.4	2.4	2	2.4	2	2
3.6	2	2.4	2.4	2.4	2	2.4	2.4	2
3.6	2	2.4	2.4	2.8	2.4	2.4	2.4	2
4	2.4	2.4	2.4	2.8	2.4	2.4	2.4	2.4
4.4	2.8	2.4	2.4	2.8	2.8	2.4	2.8	2.4
5.2	2.8	2.4	2.4	2.8	2.8	2.4	2.8	2.4
6.4	3.2	2.4	2.4	2.8	2.8	2.8	3.2	2.8
6.4	2.8	2.4	2.4	2.8	2.8	2.4	3.2	2.8
6	2.8	2.4	2.8	2.8	2.8	2.4	3.2	2.8
5.6	2.8	2.4	2.4	2.4	2.4	2.4	3.2	2.8
5.6	2.4	2.4	2.4	2.4	2.4	2.4	3.2	2.8
5.2	2.4	2.4	2.4	2.4	2.4	2.4	2.8	2.4
4.8	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
4.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
3.6	2	2.4	2.4	2.4	2.4	2.4	2.4	2
3.6	2	2.4	2.4	2.4	2.4	2.4	2.4	2
3.6	2	2.4	2.4	2.4	2.4	2.4	2.4	2
3.6	2	2.8	2.4	2.4	2.4	2.4	2.4	2
3.6	2	2.8	2.4	2.4	2.4	2.4	2.4	2
3.6	2	2.8	2.4	2.4	2.4	2.8	2.4	2
3.6	2	2.8	2.8	2.8	2.4	2.8	2.4	2
4	2.4	2.8	2.8	3.2	2.8	2.8	2.8	2.4
4.8	2.8	2.8	2.8	3.2	3.2	2.8	3.2	2.8
5.6	3.2	2.8	2.8	3.2	3.2	2.8	3.2	3.2
6	3.2	2.4	2.8	3.2	3.6	2.8	3.2	3.2
6.4	3.2	2.8	2.8	3.6	4	2.8	3.6	3.6
6.8	2.8	2.8	2.8	3.6	3.6	2.8	3.6	4
7.6	2.8	2.8	2.8	3.2	3.6	2.8	3.6	4
7.6	2.4	3.2	2.8	2.8	3.2	2.8	3.6	4
7.2	2.4	3.2	2.8	2.8	2.8	2.8	3.2	3.6
6.4	2.4	3.2	2.8	2.4	2.4	2.8	3.2	3.2
5.6	2.4	2.8	2.8	2.4	2.4	2.8	3.2	2.8
4.8	2.4	2.4	2.4	2.4	2.4	2.4	2.8	2.4
4.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
4	2	2.4	2.4	2.4	2.4	2.4	2.4	2.4
4	2	2.8	2.4	2.4	2.4	2.4	2.4	2.4
4	2	2.8	2.4	2.4	2.4	2.4	2.4	2.4
4	2	3.2	2.8	2.4	2.4	2.8	2.4	2.4
4	2	3.2	3.2	2.8	2.4	3.2	2.4	2.4
4.4	2.4	3.6	3.2	3.2	2.8	3.6	2.8	2.4
4.8	2.8	3.6	3.2	3.2	3.2	3.6	3.2	2.4
5.6	3.2	3.6	3.2	3.2	3.6	3.6	3.6	2.8
6	3.6	3.2	3.2	3.6	3.6	3.6	3.6	2.8
6.4	3.6	3.2	3.6	4	4.4	3.6	4	3.2
6.8	4	3.2	3.6	4.4	4.8	3.6	4.4	4
8	4	3.2	3.6	4.4	5.2	3.6	4.8	4.4
9.2	3.6	3.2	3.6	4	4.8	3.6	4.8	4.8
10	3.2	3.6	3.6	4	4.4	3.6	4.8	5.2
9.6	2.8	4	3.6	3.6	4	3.6	4.4	4.8
8.8	2.8	4	3.6	3.6	3.6	3.6	4	4
7.6	2.4	3.6	3.6	3.2	3.2	3.6	3.6	3.6
6.4	2.4	3.2	3.2	2.8	2.8	3.2	3.2	3.2
5.6	2.4	2.8	2.8	2.8	2.4	2.8	2.8	2.8
4.8	2.4	2.8	2.8	2.8	2.4	2.8	2.8	2.4
4.4	2.4	2.8	2.8	2.8	2.4	2.8	2.8	2.4
4.4	2.4	3.2	2.8	2.8	2.4	2.8	2.8	2.4
4.4	2.4	3.2	2.8	2.8	2.4	2.8	2.8	2.4
4.4	2.4	3.6	3.2	3.2	2.4	3.2	2.8	2.4
4.4	2.4	4	4	3.6	2.8	3.6	3.2	2.4
4.8	2.8	4.4	4.4	4	3.2	4	3.6	2.8
5.6	3.2	4	4	4	3.6	4	4	3.2
6.4	3.6	4	4	4.4	4	4	4.4	3.6
7.2	3.6	3.6	4	4.4	4.4	4	4.4	4
7.6	4	3.6	4	4.8	5.2	4.4	4.8	4
8	4.4	3.6	4	5.2	5.6	4.4	5.2	4.4
9.6	4.4	3.6	4	5.2	6	4.4	5.6	5.2
11.2	4	3.6	4	4.8	5.6	4	5.2	5.6
12	3.6	4	4	4.4	5.2	4	4.8	5.6
11.6	3.2	4.4	4	4	4.4	4.4	4.4	5.2
10.4	2.8	4.8	4.4	4	3.6	4.8	4	4.8
8.8	2.8	4.4	4	3.6	3.2	4	4	4
7.6	2.8	4	3.6	3.2	2.8	3.6	3.6	3.6
6.4	2.4	3.2	3.2	3.2	2.8	3.2	3.2	3.2
